date,mean_temp,max_temp,min_temp,humidity,mean_rain_fall,mean_wind,cases
16/12/2016,28.69,34.3,24.7,75.55,0,4.16,9
17/12/2016,27.34,31.9,23.4,83.67,0.04,4.51,11
18/12/2016,26.86,32.6,22.7,81.61,0.06,4.66,7
19/12/2016,28.08,33.4,24.2,77.74,0.01,5.63,15
20/12/2016,28.25,34.1,24.4,73.51,0,6.48,11
21/12/2016,28.66,34.9,24.4,71.77,0,5.53,12
22/12/2016,26.94,33.4,22.7,83.33,0.08,4.08,11
23/12/2016,27.2,32.5,22.8,83.13,0.09,3.97,11
24/12/2016,26.79,33.6,23.2,84.95,0.12,4.72,5
25/12/2016,26.97,33.8,23,82.93,0.05,5.03,6
26/12/2016,26.91,31.9,23.7,80.91,0,5.31,4
27/12/2016,26.44,30.9,23.9,82.6,0.02,5.23,16
28/12/2016,25.77,28.7,23.1,84.09,0.01,5.27,10
29/12/2016,27.67,32.5,23.9,74.54,0,4.71,7
30/12/2016,27.13,35,23.9,78.16,0.02,5.36,14
31/12/2016,26.92,31.1,23.9,81.75,0,4.14,7
01/01/2017,27.17,32.4,23.8,84.79,0.05,4.82,5
02/01/2017,26.54,31.4,24,88.48,0.04,3.69,12
03/01/2017,26.77,31.4,24.1,85.7,0.01,4.06,5
04/01/2017,27.11,31.8,23.3,79.48,0.01,4.75,12
05/01/2017,28.01,33.7,23,72.92,0.01,4.29,4
06/01/2017,28.68,34.5,24.9,75.67,0,3.97,8
07/01/2017,29.48,35.2,25.1,71.86,0,4.04,12
08/01/2017,29.5,35.6,25,72.67,0,4.18,8
09/01/2017,28.97,35.5,25.4,77.31,0,5.08,1
10/01/2017,28.46,34.3,24.5,78.98,0.03,5,5
11/01/2017,27.66,33.9,21.5,80.42,0.04,4.68,7
12/01/2017,28.25,33.4,24.1,73.91,0,4.23,7
13/01/2017,28.07,34,24.1,77.94,0,4.28,13
14/01/2017,28.1,32.4,23.9,76.8,0,4.11,12
15/01/2017,28.16,33.7,24.3,77.06,0,4.42,8
16/01/2017,28.01,33,23.6,75.17,0,4.78,13
17/01/2017,28.05,34.2,24,75.73,0,3.93,8
18/01/2017,26.96,34,22.1,79.57,0.07,4.41,15
19/01/2017,26.88,34.3,22.5,81.79,0.1,3.91,14
20/01/2017,26.48,31.4,23.1,84.29,0.01,4.45,10
21/01/2017,26.82,32,22.7,84.35,0.08,4.58,11
22/01/2017,26.75,31.4,23.6,83.4,0.05,5.71,7
23/01/2017,25.23,28.4,23.2,92.45,0.24,4.11,14
24/01/2017,24.23,25.9,22.9,93.67,0.05,4.52,16
25/01/2017,26.01,30.4,22.4,82.18,0.02,4.64,10
26/01/2017,27.29,32.3,23.4,80.19,0.01,4.99,8
27/01/2017,27.53,32,24.3,79.08,0,6.81,7
28/01/2017,26.4,30.3,23.5,80.94,0.01,5.57,7
29/01/2017,26.66,29.4,23.5,80.73,0,4.91,3
30/01/2017,26.3,30.3,23.4,85.01,0.02,4.8,11
31/01/2017,27.21,31.6,24.5,77.97,0,5.5,10
01/02/2017,27.36,32.3,23.5,75.71,0,4.87,7
02/02/2017,27.36,32.5,24,78.05,0.01,3.99,14
03/02/2017,27.65,34.7,23.4,78.48,0.05,4.88,7
04/02/2017,27.16,33.4,23.7,82.64,0.04,4.28,6
05/02/2017,27.58,33.9,23.3,79.73,0.01,4.77,6
06/02/2017,27.97,34.8,24.2,77.88,0,5.03,12
07/02/2017,26.63,31.5,23.2,83.77,0.04,4.55,6
08/02/2017,26.75,32.9,23.4,81.7,0.1,4.15,5
09/02/2017,27.73,32.6,23.2,71.35,0,4.49,7
10/02/2017,27.92,33.9,23.6,72.28,0,6.41,6
11/02/2017,27.57,32.6,24.3,73.77,0,7.74,9
12/02/2017,26.47,30.8,23.5,81.61,0.01,7.22,5
13/02/2017,26.68,30.7,23.5,81.81,0.01,7.3,9
14/02/2017,26.83,31.3,23.3,79.83,0.01,8.19,8
15/02/2017,25.82,30.7,22.5,82.34,0.03,6.67,15
16/02/2017,26.86,30.8,23.6,76.92,0,6.75,5
17/02/2017,27.42,32.7,23.6,75.39,0,6.29,8
18/02/2017,27.2,32.6,24.4,80.71,0,6.48,6
19/02/2017,27.84,32.9,24.7,78.1,0,6.44,4
20/02/2017,27.77,33,24,78.33,0,5.73,8
21/02/2017,27.37,33.1,23,81.07,0.03,4.62,9
22/02/2017,27.75,33.4,24.2,79.42,0,4.47,7
23/02/2017,27.15,33.2,23.1,81.12,0.04,3.8,8
24/02/2017,25.21,29.8,23.3,91.2,0.07,4.11,7
25/02/2017,26.84,34,23.1,82.16,0.02,3.95,4
26/02/2017,27.49,33.2,24.5,81.31,0.01,4.84,1
27/02/2017,27.55,32.1,23.9,79.15,0,5.68,7
28/02/2017,26.99,31.6,24.1,84.4,0.04,5.92,6
01/03/2017,25.29,28.8,22.9,88.85,0.1,4.63,13
02/03/2017,27.05,32.1,23.7,81.02,0,6.04,7
03/03/2017,26.39,30.4,22.7,86.23,0.06,5.61,8
04/03/2017,25.72,29,23.4,90.46,0.02,3.68,7
05/03/2017,27.1,32.4,23.7,81.83,0.02,4.85,7
06/03/2017,27.05,33.9,23.7,81.74,0.04,4.57,6
07/03/2017,27.26,33.6,23.4,79.18,0.01,4.17,13
08/03/2017,27.55,33.2,24.1,77.16,0,5.79,15
09/03/2017,27.48,33.1,23.7,74.83,0,6.27,8
10/03/2017,27.45,32.8,23.6,76.28,0,5.59,5
11/03/2017,27.65,33.4,23.6,78.18,0.03,4.94,12
12/03/2017,26.88,31.8,23.1,81.17,0.04,3.48,2
13/03/2017,28.12,35.4,24.2,79.79,0.01,4.09,5
14/03/2017,27.07,30.9,23.7,82.75,0.01,4.64,12
15/03/2017,28.85,36.1,24.1,71.97,0,3.85,6
16/03/2017,28.44,35.1,23.4,77,0.01,5.09,4
17/03/2017,27.33,33.8,24.1,81.29,0.03,3.58,5
18/03/2017,28.13,34.6,23.6,77.52,0.02,3.96,0
19/03/2017,28.29,34.5,23.9,76.84,0.01,3.75,3
20/03/2017,26.95,30.3,23.7,82.42,0.03,4.02,7
21/03/2017,28.24,35.2,23.8,74.92,0.01,4.47,6
22/03/2017,27.87,34.1,23.2,79.45,0.03,4.51,5
23/03/2017,28.85,35.5,24.4,75.46,0,4.74,5
24/03/2017,28.47,33.4,24.8,76.09,0,4.5,4
25/03/2017,27.95,34.4,23.5,79.32,0.06,3.99,2
26/03/2017,28.94,35.3,24.8,76.84,0,4.49,6
27/03/2017,28.86,33.6,24.4,77.25,0,4.29,5
28/03/2017,27.03,30,23.7,85.86,0.01,3.67,7
29/03/2017,27.21,33.7,22.1,83.04,0.03,3.22,3
30/03/2017,25.99,31.2,23.3,87.27,0.04,3.55,9
31/03/2017,27.41,33.4,23.9,82.8,0.02,3.04,10
01/04/2017,27.02,32.5,23.7,85.36,0.02,3.35,12
02/04/2017,27.61,33.3,23.8,81.22,0,4.54,6
03/04/2017,27.56,31.9,23.3,82.49,0.03,3.93,7
04/04/2017,28.41,34.4,23.3,77.56,0.02,4.89,4
05/04/2017,28.86,33.9,23,73.64,0,5.66,8
06/04/2017,29.04,34.6,25,74.96,0.01,4.17,6
07/04/2017,28.07,34.9,22.3,77.87,0.06,4.53,11
08/04/2017,27.16,30.3,23.8,83.89,0.01,3.23,9
09/04/2017,28.01,34.7,24.5,81.25,0.01,3.2,10
10/04/2017,27.67,32.8,24,84.79,0.01,3.45,15
11/04/2017,28.9,34.1,25.1,78.25,0.01,4.05,5
12/04/2017,28.22,32.9,23.1,82.28,0.05,3.51,5
13/04/2017,27.17,31,23.3,86.52,0.04,3.55,4
14/04/2017,27.47,33.1,23.8,84.96,0.05,3.39,2
15/04/2017,27.95,33.7,23.8,80.57,0.03,3.9,5
16/04/2017,28.35,34.5,24.3,79.42,0.01,3.2,1
17/04/2017,28.77,34.8,22.7,79.09,0.04,3.72,9
18/04/2017,27.13,35.2,22.3,85.61,0.11,3.21,10
19/04/2017,27.98,35.4,23.3,78.33,0,3,8
20/04/2017,27.97,33.6,24.1,82.66,0.03,3.19,8
21/04/2017,27.78,33,22.9,82.19,0.09,4.34,7
22/04/2017,28.39,31.8,24.7,80.45,0.02,4.06,8
23/04/2017,28.46,32.8,25.1,82.89,0.01,3.41,5
24/04/2017,27.68,33.2,23.7,86.13,0.04,3.37,2
25/04/2017,27.16,34.1,23.4,88.28,0.03,3.8,7
26/04/2017,27.42,31.8,24.3,84.97,0,5.3,8
27/04/2017,27.89,34.6,23.4,83.01,0.09,6.89,5
28/04/2017,27.68,32.9,22.8,80.68,0.05,5.94,3
29/04/2017,28.02,31.3,24.4,83,0,4.4,8
30/04/2017,28.83,34.9,24.9,79.19,0.01,5.4,3
01/05/2017,29.07,33.7,25.3,78.4,0,4.74,6
02/05/2017,28.08,31.6,24.6,82.98,0.03,4.58,8
03/05/2017,29.08,33.4,25.3,78.61,0,5.09,1
04/05/2017,28.74,32.8,23.5,81.23,0.03,4.86,5
05/05/2017,28.51,32.6,24.1,81.34,0.01,5.1,9
06/05/2017,28.4,33.6,23.5,80.01,0.02,5.11,14
07/05/2017,28.08,32.8,23.7,81.57,0.02,5.21,7
08/05/2017,28.58,33.4,24.8,78.65,0,6.13,8
09/05/2017,29.39,33.8,24.9,78.46,0.01,6.45,9
10/05/2017,27.37,30.7,23.9,88.48,0.03,4.49,6
11/05/2017,28.19,32.6,24.3,80.1,0,6.39,1
12/05/2017,28.38,32,24.7,82.38,0.05,5.75,6
13/05/2017,28.71,33.2,24.6,82.23,0.01,4.89,5
