date,cases
1/1/2014,35
2/1/2014,79
3/1/2014,100
4/1/2014,46
5/1/2014,32
6/1/2014,107
7/1/2014,80
8/1/2014,54
9/1/2014,77
10/1/2014,79
11/1/2014,52
12/1/2014,26
13/1/2014,70
14/1/2014,74
15/1/2014,65
16/1/2014,62
17/1/2014,62
18/1/2014,48
19/1/2014,28
20/1/2014,63
21/1/2014,73
22/1/2014,50
23/1/2014,52
24/1/2014,40
25/1/2014,33
26/1/2014,18
27/1/2014,50
28/1/2014,53
29/1/2014,47
30/1/2014,43
31/1/2014,11
1/2/2014,18
2/2/2014,16
3/2/2014,46
4/2/2014,43
5/2/2014,38
6/2/2014,47
7/2/2014,47
8/2/2014,42
9/2/2014,33
10/2/2014,58
11/2/2014,75
12/2/2014,60
13/2/2014,58
14/2/2014,54
15/2/2014,32
16/2/2014,12
17/2/2014,38
18/2/2014,30
19/2/2014,34
20/2/2014,33
21/2/2014,25
22/2/2014,25
23/2/2014,29
24/2/2014,37
25/2/2014,23
26/2/2014,30
27/2/2014,20
28/2/2014,29
1/3/2014,21
2/3/2014,16
3/3/2014,52
4/3/2014,29
5/3/2014,23
6/3/2014,35
7/3/2014,31
8/3/2014,24
9/3/2014,17
10/3/2014,28
11/3/2014,33
12/3/2014,30
13/3/2014,45
14/3/2014,40
15/3/2014,32
16/3/2014,17
17/3/2014,42
18/3/2014,39
19/3/2014,27
20/3/2014,41
21/3/2014,27
22/3/2014,18
23/3/2014,16
24/3/2014,34
25/3/2014,41
26/3/2014,26
27/3/2014,23
28/3/2014,53
29/3/2014,36
30/3/2014,19
31/3/2014,38
1/4/2014,45
2/4/2014,40
3/4/2014,44
4/4/2014,23
5/4/2014,33
6/4/2014,9
7/4/2014,47
8/4/2014,42
9/4/2014,25
10/4/2014,59
11/4/2014,31
12/4/2014,38
13/4/2014,14
14/4/2014,40
15/4/2014,40
16/4/2014,43
17/4/2014,58
18/4/2014,11
19/4/2014,29
20/4/2014,18
21/4/2014,49
22/4/2014,47
23/4/2014,39
24/4/2014,37
25/4/2014,53
26/4/2014,39
27/4/2014,20
28/4/2014,40
29/4/2014,47
30/4/2014,49
1/5/2014,17
2/5/2014,51
3/5/2014,29
4/5/2014,9
5/5/2014,42
6/5/2014,50
7/5/2014,34
8/5/2014,41
9/5/2014,42
10/5/2014,45
11/5/2014,19
12/5/2014,49
13/5/2014,17
14/5/2014,58
15/5/2014,47
16/5/2014,67
17/5/2014,35
18/5/2014,25
19/5/2014,86
20/5/2014,65
21/5/2014,76
22/5/2014,56
23/5/2014,71
24/5/2014,58
25/5/2014,30
26/5/2014,101
27/5/2014,67
28/5/2014,70
29/5/2014,69
30/5/2014,56
31/5/2014,64
1/6/2014,25
2/6/2014,93
3/6/2014,72
4/6/2014,85
5/6/2014,67
6/6/2014,63
7/6/2014,57
8/6/2014,34
9/6/2014,94
10/6/2014,71
11/6/2014,97
12/6/2014,82
13/6/2014,81
14/6/2014,52
15/6/2014,34
16/6/2014,97
17/6/2014,94
18/6/2014,87
19/6/2014,87
20/6/2014,77
21/6/2014,80
22/6/2014,41
23/6/2014,109
24/6/2014,117
25/6/2014,90
26/6/2014,93
27/6/2014,128
28/6/2014,99
29/6/2014,48
30/6/2014,157
1/7/2014,148
2/7/2014,148
3/7/2014,129
4/7/2014,155
5/7/2014,113
6/7/2014,63
7/7/2014,146
8/7/2014,148
9/7/2014,134
10/7/2014,109
11/7/2014,156
12/7/2014,71
13/7/2014,53
14/7/2014,118
15/7/2014,133
16/7/2014,147
17/7/2014,91
18/7/2014,124
19/7/2014,89
20/7/2014,50
21/7/2014,114
22/7/2014,126
23/7/2014,97
24/7/2014,91
25/7/2014,108
26/7/2014,56
27/7/2014,32
28/7/2014,43
29/7/2014,104
30/7/2014,94
31/7/2014,73
1/8/2014,86
2/8/2014,53
3/8/2014,36
4/8/2014,124
5/8/2014,89
6/8/2014,78
7/8/2014,99
8/8/2014,91
9/8/2014,30
10/8/2014,21
11/8/2014,96
12/8/2014,89
13/8/2014,69
14/8/2014,70
15/8/2014,48
16/8/2014,50
17/8/2014,44
18/8/2014,53
19/8/2014,84
20/8/2014,66
21/8/2014,48
22/8/2014,73
23/8/2014,54
24/8/2014,38
25/8/2014,66
26/8/2014,67
27/8/2014,45
28/8/2014,55
